product_id,sku,category_id,brand,model,cost_price,selling_price,manufacture_date,status,supplier_id
89,ST-WES-0089,12,Western Digital,WD Blue SN580,23603,27852,2025-08-22,Coming Soon,39
90,ST-KIN-0090,12,Kingston,KC3000 SSD,31751,39054,2026-07-13,In Stock,16
91,NE-UBI-0091,11,Ubiquiti,UniFi Dream Machine,9434,11132,2026-03-31,Out of Stock,15
92,CO-HP-0092,8,HP,Wireless Mouse X200,18884,21339,2025-10-11,Out of Stock,4
93,CO-LOG-0093,8,Logitech,MX Master 3S,21633,24445,2026-06-04,In Stock,28
94,CA-CAN-0094,10,Canon,EOS R6 Mark II,293026,322329,2026-05-01,Coming Soon,10
95,NE-CIS-0095,11,Cisco,ISR 1100 Router,3488,4151,2026-06-26,In Stock,14
96,HO-IFB-0096,7,IFB,Neptune Dishwasher,183759,213160,2026-03-18,In Stock,27
97,HO-WHI-0097,7,Whirlpool,3D Cool AC,235106,286829,2026-05-15,In Stock,25
98,SM-NOT-0098,1,Nothing,Phone 3,24494,28903,2025-11-03,In Stock,21
99,TE-LG-0099,6,LG,UQ75 55,92232,113445,2026-01-17,In Stock,6
100,CA-PAN-0100,10,Panasonic,Lumix G9 II,334526,404776,2026-01-14,In Stock,36
101,AU-APP-0101,5,Apple,Airpods 4,29541,33972,2025-10-05,In Stock,1
102,SM-GOO-0102,1,Google,Pixel 10,35888,41989,2026-06-01,In Stock,20
103,CA-FUJ-0103,10,Fujifilm,X-T5,237417,273030,2025-11-12,Out of Stock,35
104,TE-TCL-0104,6,TCL,P755,83070,98023,2025-08-22,In Stock,41
105,TA-LEN-0105,3,Lenovo,Tab P12,79522,89860,2025-10-25,In Stock,5
106,SM-APP-0106,4,Apple,Apple Watch Ultra 2,14032,15576,2025-09-14,In Stock,1
107,NE-CIS-0107,11,Cisco,Catalyst 9200,18407,22457,2026-05-22,In Stock,14
108,TE-TCL-0108,6,TCL,P755,278492,323051,2025-11-22,Out of Stock,41
109,TA-APP-0109,3,Apple,ipad Mini,52594,63639,2026-04-13,In Stock,1
110,ST-SEA-0110,12,Seagate,Expansion Portable 2TB,1394,1617,2025-09-13,In Stock,40
111,GA-ASU-0111,9,ASUS,ROG Ally X,35694,39263,2026-04-27,In Stock,8
112,GA-SON-0112,9,Sony,PlayStation 5 Slim,39988,45186,2026-03-26,In Stock,7
113,GA-RAZ-0113,9,Razer,BlackWidow V4,21560,25441,2025-12-19,In Stock,33
114,CA-CAN-0114,10,Canon,EOS R6 Mark II,187478,208101,2026-01-26,In Stock,10
115,ST-WES-0115,12,Western Digital,My Passport 2TB,15544,17409,2025-08-02,In Stock,39
116,NE-D-L-0116,11,D-Link,DIR-X5460,42743,48300,2025-12-12,Out of Stock,38
117,CO-DEL-0117,8,Dell,WD19 Dock,8580,10382,2025-12-12,Discontinued,3
118,TA-XIA-0118,3,Xiaomi,Pad 7 Pro,72900,85293,2026-04-08,Discontinued,11
119,GA-ASU-0119,9,ASUS,ROG Chakram Mouse,37126,44551,2026-07-31,In Stock,8
120,HO-BOS-0120,7,Bosch,Dishwasher SMS6,11464,13986,2025-10-21,In Stock,26
121,CO-LOG-0121,8,Logitech,MX Keys S,9199,11131,2026-01-24,In Stock,28
122,NE-NET-0122,11,Netgear,Nighthawk AX12,32774,39329,2025-08-03,Discontinued,37
123,TA-APP-0123,3,Apple,ipad Air M3,88294,108602,2025-11-30,In Stock,1
124,HO-BOS-0124,7,Bosch,Dishwasher SMS6,118205,137118,2026-05-24,In Stock,26
125,CA-SON-0125,10,Sony,ZV-E10 II,135421,159797,2025-10-20,Out of Stock,7
126,LA-HP-0126,2,HP,Victus 15,177839,211628,2026-05-21,In Stock,4
127,HO-LG-0127,7,LG,Double Door Refrigerator,236319,274130,2025-10-23,Out of Stock,6
128,TA-SAM-0128,3,Samsung,Galaxy Tab S10 Ultra,58639,73299,2025-10-30,In Stock,2
129,HO-WHI-0129,7,Whirlpool,IntelliFresh Refrigerator,16577,18898,2026-03-14,In Stock,25
130,HO-WHI-0130,7,Whirlpool,IntelliFresh Refrigerator,184026,206109,2026-07-11,In Stock,25
131,LA-ACE-0131,2,Acer,Aspire 7,94569,104972,2026-07-30,In Stock,9
132,LA-ACE-0132,2,Acer,Nitro v,107738,124976,2025-12-06,Out of Stock,9
133,NE-CIS-0133,11,Cisco,ISR 1100 Router,28883,32638,2025-09-09,In Stock,14
134,TA-LEN-0134,3,Lenovo,Tab P12,86657,106588,2026-01-18,In Stock,5
135,SM-SAM-0135,4,Samsung,Galaxy Watch Ultra,35083,43503,2026-03-27,In Stock,2
136,SM-SAM-0136,4,Samsung,Galaxy Watch 7,21701,24739,2025-09-22,Out of Stock,2
137,HO-BOS-0137,7,Bosch,Dishwasher SMS6,185911,228671,2025-10-15,In Stock,26
138,SM-SAM-0138,4,Samsung,Galaxy Watch 7,6893,8616,2026-03-04,In Stock,2
139,TA-SAM-0139,3,Samsung,Galaxy Tab S10+,50758,57357,2026-07-17,In Stock,2
140,SM-GOO-0140,1,Google,pixel 10 pro,101059,122281,2025-11-23,Out of Stock,20
141,NE-D-L-0141,11,D-Link,DGS-1210 Switch,46979,52616,2026-07-01,In Stock,38
142,NE-UBI-0142,11,Ubiquiti,UniFi Dream Machine,20096,22708,2026-01-10,In Stock,15
143,NE-NET-0143,11,Netgear,GS308 Switch,41632,46212,2026-02-18,In Stock,37
144,CA-PAN-0144,10,Panasonic,Lumix GH7,149143,165549,2026-01-01,Out of Stock,36
145,TE-SON-0145,6,Sony,Bravia 3,291623,341199,2025-12-11,Coming Soon,7
146,CA-NIK-0146,10,Nikon,Z8,76559,91871,2025-10-27,In Stock,34
147,NE-UBI-0147,11,Ubiquiti,UniFi AP U7 Pro,31185,36486,2026-03-08,Out of Stock,15
148,LA-HP-0148,2,HP,Pavilion 14,61328,67461,2025-10-21,Out of Stock,4
149,GA-RAZ-0149,9,Razer,Kraken V4 Headset,70397,83772,2026-04-12,In Stock,33
150,HO-LG-0150,7,LG,Double Door Refrigerator,167666,201199,2025-11-20,Coming Soon,6
151,ST-WES-0151,12,Western Digital,My Passport 2TB,25516,29854,2026-02-10,In Stock,39
152,LA-MSI-0152,2,MSI,Modern 15,52457,63473,2026-07-26,In Stock,22
153,LA-ACE-0153,2,Acer,Nitro v,68920,86150,2026-03-26,In Stock,9
154,NE-D-L-0154,11,D-Link,DWR-M921 Router,15442,19148,2026-08-02,In Stock,38
155,ST-KIN-0155,12,Kingston,KC3000 SSD,29690,35628,2025-12-23,Coming Soon,16
156,AU-SAM-0156,5,Samsung,Galaxy Buds 3 Pro,33355,38358,2026-05-17,In Stock,2
157,HO-WHI-0157,7,Whirlpool,IntelliFresh Refrigerator,202423,244932,2025-12-16,In Stock,25
158,LA-ACE-0158,2,Acer,Swift Go,93225,115599,2025-08-17,In Stock,9
159,SM-XIA-0159,1,Xiaomi,Xiaomi 15,54493,62122,2026-01-12,Out of Stock,11
160,ST-SEA-0160,12,Seagate,Expansion Portable 2TB,32906,38171,2026-06-08,Out of Stock,40
161,SM-ONE-0161,1,OnePlus,OnePlus 13,109114,128755,2025-11-27,Out of Stock,19
162,TA-APP-0162,3,Apple,ipad Mini,39687,44846,2025-10-04,In Stock,1
163,TE-SAM-0163,6,Samsung,Neo QLED 65,178277,212150,2026-01-04,In Stock,2
164,NE-UBI-0164,11,Ubiquiti,EdgeRouter X,36103,42602,2026-05-19,Discontinued,15
165,SM-SAM-0165,4,Samsung,Galaxy Watch FE,40588,45864,2026-01-19,In Stock,2
166,CA-SON-0166,10,Sony,Alpha A7 IV,318761,395264,2026-01-30,In Stock,7
167,ST-WES-0167,12,Western Digital,WD Black SN850X,24545,27981,2026-02-12,In Stock,39
168,ST-SEA-0168,12,Seagate,Expansion Portable 2TB,19662,22021,2026-05-31,In Stock,40
169,NE-D-L-0169,11,D-Link,DWR-M921 Router,19455,24319,2025-08-05,In Stock,38
170,TE-HIS-0170,6,Hisense,A6N,118236,133607,2026-04-20,In Stock,18
171,TE-LG-0171,6,LG,QNED86 65,283173,317154,2025-08-26,In Stock,6
172,ST-WES-0172,12,Western Digital,My Passport 2TB,21926,25215,2025-12-22,In Stock,39
173,HO-WHI-0173,7,Whirlpool,3D Cool AC,42076,48387,2026-06-23,In Stock,25
174,SM-XIA-0174,1,Xiaomi,Redmi Note 15 Pro,22616,25330,2026-07-21,In Stock,11
175,SM-XIA-0175,1,Xiaomi,Xiaomi 15,28676,34411,2025-10-22,In Stock,11
176,TE-LG-0176,6,LG,UQ75 55,233562,287281,2026-07-01,Out of Stock,6
177,HO-SAM-0177,7,Samsung,WindFree AC,149780,178238,2026-01-19,In Stock,2
178,HO-WHI-0178,7,Whirlpool,Magic Clean Washing Machine,64953,74696,2025-12-17,In Stock,25
179,CA-SON-0179,10,Sony,Alpha A7 IV,183763,209490,2025-12-16,In Stock,7
180,CA-PAN-0180,10,Panasonic,Lumix S5 II,112369,135966,2026-05-23,In Stock,36
181,LA-DEL-0181,2,Dell,Latitude 540,152046,183976,2026-02-04,Out of Stock,3
182,CO-TP--0182,8,TP-Link,UH720 USB Hub,10845,12580,2026-04-03,In Stock,30
183,SM-GAR-0183,4,Garmin,Fenix 8,33412,38758,2026-01-19,In Stock,12
184,AU-SON-0184,5,Sony,WH-1000XM6,6604,7396,2025-10-27,Out of Stock,7
185,ST-KIN-0185,12,Kingston,DataTraveler Max,13828,16870,2026-05-17,Discontinued,16
186,SM-APP-0186,1,Apple,iphone 17 Plus,42457,50524,2026-01-09,In Stock,1
187,GA-ASU-0187,9,ASUS,ROG Ally X,61437,73110,2026-02-23,Out of Stock,8
188,AU-SON-0188,5,Sony,WH-1000XM6,1136,1420,2025-08-18,In Stock,7
189,TA-SAM-0189,3,Samsung,Galaxy Tab S10+,57782,64716,2025-09-25,Discontinued,2
190,CO-COR-0190,8,Corsair,M75 Wireless Mouse,1151,1381,2026-01-07,In Stock,29
191,CA-CAN-0191,10,Canon,EOS R8,266953,293648,2026-04-11,In Stock,10
192,CA-PAN-0192,10,Panasonic,Lumix GH7,134808,163118,2026-03-06,Coming Soon,36
193,HO-IFB-0193,7,IFB,Senorita Washing Machine,59065,70878,2025-08-26,In Stock,27
194,GA-NIN-0194,9,Nintendo,Nintendo Switch OLED,52351,62821,2026-07-30,In Stock,32
195,AU-APP-0195,5,Apple,Airpods Pro 2,15775,18930,2025-09-18,In Stock,1
196,SM-GAR-0196,4,Garmin,Forerunner 265,18677,22599,2025-11-08,In Stock,12
197,TA-SAM-0197,3,Samsung,Galaxy Tab S10+,69512,77853,2026-06-22,In Stock,2
198,NE-CIS-0198,11,Cisco,Catalyst 9200,38978,44045,2026-07-05,In Stock,14
199,LA-HP-0199,2,HP,Victus 15,77562,89196,2026-07-18,In Stock,4
200,SM-XIA-0200,1,Xiaomi,Redmi Note 15 Pro,101644,126039,2026-02-16,Out of Stock,11
201,NE-D-L-0201,11,D-Link,DGS-1210 Switch,31988,36146,2025-09-05,In Stock,38
202,CO-LOG-0202,8,Logitech,Brio 4K Webcam,8399,10163,2025-09-26,Discontinued,28
203,HO-BOS-0203,7,Bosch,Double Door Refrigerator,44680,54510,2025-11-03,Coming Soon,26
204,LA-ACE-0204,2,Acer,Swift Go,100743,125929,2025-10-19,In Stock,9
205,LA-MSI-0205,2,MSI,Modern 15,154429,193036,2026-05-07,In Stock,22
206,TA-LEN-0206,3,Lenovo,Tab M11,40171,49009,2025-11-20,In Stock,5
207,CA-CAN-0207,10,Canon,EOS R6 Mark II,83636,103709,2025-12-17,In Stock,10
208,ST-KIN-0208,12,Kingston,KC3000 SSD,12063,14837,2025-11-17,Out of Stock,16
209,ST-KIN-0209,12,Kingston,DataTraveler Max,24052,28862,2026-04-05,In Stock,16
210,SM-SAM-0210,1,Samsung,Galaxy M36,21402,25896,2026-02-19,In Stock,2
211,HO-BOS-0211,7,Bosch,Dishwasher SMS6,77484,92206,2025-10-11,In Stock,26
212,GA-ASU-0212,9,ASUS,ROG Ally X,11532,13723,2026-07-19,In Stock,8
213,LA-HP-0213,2,HP,Pavilion 14,134058,155507,2026-06-19,In Stock,4
214,LA-MSI-0214,2,MSI,Stealth 16,126753,141963,2026-07-13,Out of Stock,22
215,SM-APP-0215,4,Apple,Apple Watch SE,10407,12801,2025-08-12,Out of Stock,1
216,SM-APP-0216,4,Apple,Apple Watch Ultra 2,12329,14178,2025-12-22,In Stock,1
217,HO-WHI-0217,7,Whirlpool,3D Cool AC,58712,69280,2026-03-15,In Stock,25
218,CA-NIK-0218,10,Nikon,Z8,27045,32184,2026-01-04,Out of Stock,34
219,HO-WHI-0219,7,Whirlpool,IntelliFresh Refrigerator,55447,67645,2025-11-16,In Stock,25
220,LA-HP-0220,2,HP,Spectre x360,97547,115105,2026-02-06,Out of Stock,4
221,SM-APP-0221,4,Apple,Apple Watch Ultra 2,21442,24229,2026-05-25,In Stock,1
222,LA-DEL-0222,2,Dell,Xps 13,67007,75718,2026-04-18,In Stock,3
223,SM-XIA-0223,1,Xiaomi,Poco F7,116882,142596,2026-06-05,In Stock,11
224,GA-RAZ-0224,9,Razer,Kraken V4 Headset,70121,85548,2025-11-14,In Stock,33
225,GA-RAZ-0225,9,Razer,DeathAdder V3,10951,13141,2025-11-28,Out of Stock,33
226,AU-APP-0226,5,Apple,Airpods Pro 2,27360,33926,2026-03-20,In Stock,1
227,SM-GAR-0227,4,Garmin,Venu 3,43632,48868,2026-02-27,In Stock,12
228,CO-LOG-0228,8,Logitech,MX Master 3S,16594,19747,2025-11-27,Coming Soon,28
229,SM-APP-0229,1,Apple,iphone 17 Plus,72423,89805,2025-08-26,In Stock,1
230,SM-AMA-0230,4,Amazfit,GTR 4,31796,35294,2026-06-06,In Stock,13
231,SM-GOO-0231,1,Google,Pixel 10,30646,35856,2026-04-13,In Stock,20
232,GA-NIN-0232,9,Nintendo,Nintendo Switch OLED,61023,70176,2025-11-05,In Stock,32
233,SM-SAM-0233,4,Samsung,Galaxy Watch Ultra,20653,22718,2025-11-27,In Stock,2
234,HO-LG-0234,7,LG,Double Door Refrigerator,177742,207958,2026-01-29,In Stock,6
235,SM-APP-0235,4,Apple,Apple Watch Series 10,4834,5946,2026-02-27,Out of Stock,1
236,ST-SAN-0236,12,SanDisk,Ultra Dual Drive Luxe,29813,36968,2026-05-17,In Stock,17
237,HO-IFB-0237,7,IFB,Neptune Dishwasher,202353,224612,2025-09-18,Out of Stock,27
238,CO-HP-0238,8,HP,Wireless Mouse X200,24452,29342,2026-04-06,In Stock,4
239,LA-ASU-0239,2,ASUS,Rog Strix G16,40355,46005,2025-08-09,In Stock,8
240,HO-SAM-0240,7,Samsung,WindFree AC,7066,8762,2025-12-29,In Stock,2
241,SM-ONE-0241,1,OnePlus,OnePlus Nord CE 5,91364,107810,2026-03-29,In Stock,19
242,LA-HP-0242,2,HP,Pavilion 14,128811,157149,2025-09-12,In Stock,4
243,AU-APP-0243,5,Apple,Airpods Pro 2,28329,31445,2026-02-26,In Stock,1
244,NE-D-L-0244,11,D-Link,DGS-1210 Switch,6354,7752,2026-06-02,In Stock,38
245,AU-JBL-0245,5,JBL,Tune 770NC,8442,10299,2025-09-19,In Stock,23
246,TE-HIS-0246,6,Hisense,U7N,147369,179790,2026-05-08,In Stock,18
247,SM-ONE-0247,1,OnePlus,OnePlus Nord 5,26442,29879,2025-11-08,Out of Stock,19
248,HO-WHI-0248,7,Whirlpool,3D Cool AC,150000,180000,2025-08-17,In Stock,25
249,CO-LOG-0249,8,Logitech,Brio 4K Webcam,24503,29159,2026-03-19,Out of Stock,28
250,TE-HIS-0250,6,Hisense,A6N,58643,70958,2025-12-25,Discontinued,18
251,CA-SON-0251,10,Sony,ZV-E10 II,59342,72397,2026-08-02,In Stock,7
252,CA-PAN-0252,10,Panasonic,Lumix G9 II,30319,34867,2026-06-12,Out of Stock,36
253,TE-SAM-0253,6,Samsung,Crystal UHD 55,296805,350230,2026-01-27,In Stock,2
254,CA-PAN-0254,10,Panasonic,Lumix G9 II,265570,321340,2026-05-28,In Stock,36
255,TE-TCL-0255,6,TCL,C755,132627,145890,2026-06-10,Coming Soon,41
256,HO-WHI-0256,7,Whirlpool,IntelliFresh Refrigerator,102890,122439,2025-09-23,Out of Stock,25
257,ST-SEA-0257,12,Seagate,FireCuda 530,24630,27832,2026-05-31,In Stock,40
258,GA-MIC-0258,9,Microsoft,Xbox Series S,53938,59332,2026-03-16,Out of Stock,31
259,TA-SAM-0259,3,Samsung,Galaxy Tab A9+,35163,38679,2025-10-16,In Stock,2
260,TA-APP-0260,3,Apple,ipad Pro 13,25010,30762,2025-12-05,Out of Stock,1
261,AU-APP-0261,5,Apple,HomePod Mini,21077,24871,2026-03-24,In Stock,1
262,LA-ACE-0262,2,Acer,Swift Go,92083,109579,2025-12-11,In Stock,9
263,TA-XIA-0263,3,Xiaomi,Pad 7,12785,15086,2026-05-03,In Stock,11
264,HO-LG-0264,7,LG,Front Load Washing Machine,249154,311442,2025-08-28,In Stock,6
265,TA-APP-0265,3,Apple,ipad Pro 13,11391,13441,2026-03-07,Coming Soon,1
266,TA-XIA-0266,3,Xiaomi,Pad 7 Pro,57652,65723,2025-11-01,In Stock,11
267,LA-MSI-0267,2,MSI,Katana 15,174922,211656,2025-11-08,In Stock,22
268,TE-SAM-0268,6,Samsung,Neo QLED 65,30760,35066,2026-03-24,Coming Soon,2
269,TE-SON-0269,6,Sony,Bravia 7,47917,54625,2026-06-10,In Stock,7
270,TA-LEN-0270,3,Lenovo,Tab P12,42222,51933,2026-02-12,In Stock,5
271,AU-SAM-0271,5,Samsung,Galaxy Buds FE,28152,34627,2026-01-10,Out of Stock,2
272,CO-LOG-0272,8,Logitech,MX Keys S,10813,12543,2025-12-15,Discontinued,28
273,GA-SON-0273,9,Sony,PlayStation 5 Slim,50106,59626,2025-08-05,Discontinued,7
274,TE-LG-0274,6,LG,QNED86 65,251401,294139,2025-12-08,Out of Stock,6
275,SM-NOT-0275,1,Nothing,Phone 3,113822,126342,2026-06-18,Coming Soon,21
276,HO-SAM-0276,7,Samsung,Top Load Washing Machine,119923,147505,2026-01-06,Out of Stock,2
277,SM-SAM-0277,4,Samsung,Galaxy Watch 7,7470,8815,2025-12-03,In Stock,2
278,HO-IFB-0278,7,IFB,Microwave Oven,81469,98577,2026-03-29,Out of Stock,27
279,NE-TP--0279,11,TP-Link,Deco X55,35324,40623,2026-05-11,Out of Stock,30
280,GA-NIN-0280,9,Nintendo,Nintendo Switch OLED,78301,89263,2025-09-23,In Stock,32
281,GA-MIC-0281,9,Microsoft,Xbox Wireless Controller,68875,81961,2025-12-29,In Stock,31
282,TE-LG-0282,6,LG,OLED C5,45077,51839,2026-03-21,In Stock,6
283,ST-WES-0283,12,Western Digital,WD Black SN850X,11535,12919,2026-03-20,In Stock,39
284,NE-D-L-0284,11,D-Link,DGS-1210 Switch,27530,32485,2025-10-02,Out of Stock,38
285,LA-HP-0285,2,HP,Victus 15,142384,177980,2026-03-20,In Stock,4
286,AU-SAM-0286,5,Samsung,Galaxy Buds 3 Pro,12170,15091,2026-07-16,Out of Stock,2
287,CO-DEL-0287,8,Dell,WD19 Dock,21972,26806,2026-02-10,Coming Soon,3
288,ST-SAN-0288,12,SanDisk,Ultra microSDXC 256GB,22339,27700,2025-08-12,In Stock,17
